url_norm,lang,cluster_p11,classe_p11,title,novo_lar,secao,acao,fase,motivo,inb_total,words,brand_hits,slug_legacy,pareamento_t1,flag_revisao
/documentacao/arquiteturas/api-gateways/implementar-seguranca-api-gateways/,pt-br,arquiteturas/api-gateways,MANTER,Perímetro de segurança no seu API Gateway,/pt-br/documentacao/architectures/api-gateways/implementar-seguranca-api-gateways/,concept,MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),2,958,0,False,True,t1-pendente
/documentation/architectures/api-gateways/implement-api-gateways-security/,en,arquiteturas/api-gateways,MANTER,Secure Your API Gateway with a Perimeter,/en/documentation/architectures/api-gateways/implement-api-gateways-security/,concept,MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),2,862,0,False,False,
/documentacao/arquiteturas/inteligencia-artificial/agente-ai-assistente-copilot/,pt-br,arquiteturas/artificial-intelligence,MANTER,Crie um assistente Copilot com agente de IA ReAct,/pt-br/documentacao/architectures/artificial-intelligence/agente-ai-assistente-copilot/,concept,MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),2,655,0,False,True,t1-pendente
/documentacao/arquiteturas/inteligencia-artificial/ai-agent-seguranca-autonoma/,pt-br,arquiteturas/artificial-intelligence,REVISAR (órfã),AI Inference para proteção em uploads de arquivos,/pt-br/documentacao/architectures/artificial-intelligence/ai-agent-seguranca-autonoma/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,1205,0,False,True,t1-pendente
/documentacao/arquiteturas/inteligencia-artificial/ai-agent-third-party-llm/,pt-br,arquiteturas/artificial-intelligence,REVISAR (órfã),Configure AI Agents para LLMs de terceiros,/pt-br/documentacao/architectures/artificial-intelligence/ai-agent-third-party-llm/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,783,0,False,False,
/documentacao/arquiteturas/inteligencia-artificial/ai-inference-architecture/,pt-br,arquiteturas/artificial-intelligence,REVISAR (órfã),Implemenete AI Inference em suas aplicações,/pt-br/documentacao/architectures/artificial-intelligence/ai-inference-architecture/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,670,0,False,False,
/documentation/architectures/artificial-intelligence/ai-agent-copilot-assistant/,en,arquiteturas/artificial-intelligence,REESCREVER,Build a Copilot Assistant with a ReAct AI Agent,/en/documentation/architectures/artificial-intelligence/ai-agent-copilot-assistant/,concept,REESCREVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),2,583,1,False,False,
/documentation/architectures/artificial-intelligence/ai-agent-third-party-llm/,en,arquiteturas/artificial-intelligence,REVISAR (órfã),AI Agents Configuration for Third Party LLM Providers,/en/documentation/architectures/artificial-intelligence/ai-agent-third-party-llm/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,722,0,False,False,
/documentation/architectures/artificial-intelligence/ai-inference-architecture/,en,arquiteturas/artificial-intelligence,REVISAR (órfã),Implement AI Inference in your applications,/en/documentation/architectures/artificial-intelligence/ai-inference-architecture/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,636,0,False,False,
/documentation/architectures/artificial-intelligence/autonomous-security-ai-agent/,en,arquiteturas/artificial-intelligence,REVISAR (órfã),AI Inference for Threat Protection in Uploads,/en/documentation/architectures/artificial-intelligence/autonomous-security-ai-agent/,concept,RELIGAR+MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),0,1116,0,False,False,
/documentacao/arquiteturas/gerenciamento-de-bots/proteja-edge-applications-com-bot-management/,pt-br,arquiteturas/bot-management,ATUALIZAR URL,Proteja suas apps com gerenciamento de bots,/pt-br/documentacao/architectures/gerenciamento-de-bots/proteja-edge-applications-com-bot-management/,concept,MOVER,F5,R-ARQ: biblioteca de explanation mantida; órfãs religadas ao hub de soluções e slugs legados canonizados (P1),3,891,0,True,True,t1-pendente
